Name,City,Country
Ghana International School,Accra,Ghana
High Commission of the Republic of Sierra Leone,Accra,Ghana
University of Ghana,Accra,Ghana
37 Military Hospital,Accra,Ghana
Accra International Conference Center,Accra,Ghana
Banquet Hall,Accra,Ghana
Labone Senior High School,Accra,Ghana
University of Professional Studies,Accra,Ghana
Ghana Institute of Journalism,Accra,Ghana
Kotoka International Airport,Accra,Ghana
Accra Technical University,Accra,Ghana
La Palm Royal Beach Hotel,Accra,Ghana
Burma Camp,Accra,Ghana
Michel Camp,Accra,Ghana
Shai Hills,Accra,Ghana
PRESEC,Accra,Ghana
Achimota School,Accra,Ghana
Budase Training Camp,Accra,Ghana
Tema Harbour,Tema,Ghana
Tema Oil Refinery,Tema,Ghana
Kumasi Airport,Kumasi,Ghana
Komfo Anokye Teaching Hospital,Kumasi,Ghana
KNUST,Kumasi,Ghana
Baba Yara Sports Stadium,Kumasi,Ghana
Kumasi  Technical Institute,Kumasi,Ghana
Ghana Armed Forces,Kumasi,Ghana
Miklin Hotel,Kumasi,Ghana
Golden Tulip Hotel,Kumasi,Ghana
Golden Beam Hotel,Kumasi,Ghana
Royal Gold Club,Kumasi,Ghana
Kumasi Accademy,Kumasi,Ghana
Kumasi Girls ,Kumasi,Ghana
Prudential Bank,Kumasi,Ghana
Melcom Ghana,Kumasi,Ghana
Manhyia Palace,Kumasi,Ghana
Marbon Hotel,Kumasi,Ghana